datetime,open,high,low,close
2024-12-31,705.35,714.99,698.48,702.3
2024-12-30,694.71,712.2,687.75,705.36
2024-12-29,722.13,724.7,690.0,694.71
2024-12-28,691.86,731.24,691.3,722.13
2024-12-27,689.4,718.88,685.73,691.85
2024-12-26,702.71,719.99,683.0,689.4
2024-12-25,696.89,713.28,695.94,702.72
2024-12-24,694.16,699.0,682.68,696.9
2024-12-23,649.77,698.5,638.1,694.16
2024-12-22,663.5,669.71,639.37,649.77
2024-12-21,678.6,693.39,652.0,663.49
2024-12-20,665.61,680.58,618.69,678.6
2024-12-19,686.39,705.57,648.63,665.62
2024-12-18,717.7,722.0,681.0,686.38
2024-12-17,720.58,737.37,712.24,717.69
2024-12-16,718.87,730.0,704.16,720.58
2024-12-15,715.8,724.08,702.66,718.87
2024-12-14,725.73,732.11,705.01,715.79
2024-12-13,705.77,729.88,696.8,725.72
2024-12-12,711.2,725.61,699.36,705.77
2024-12-11,676.8,713.0,658.54,711.21
2024-12-10,689.2,704.92,649.13,676.8
2024-12-09,742.0,742.5,642.0,689.19
2024-12-08,749.71,757.26,727.47,742.0
2024-12-07,730.22,761.0,729.69,749.72
2024-12-06,717.1,745.93,705.06,730.22
2024-12-05,739.54,739.9,690.0,717.1
2024-12-04,734.64,793.86,720.0,739.53
2024-12-03,647.83,750.01,622.85,734.64
2024-12-02,656.0,667.2,627.99,647.82
2024-12-01,653.44,664.17,645.16,655.99
2024-11-30,654.67,677.2,648.0,653.43
2024-11-29,653.84,663.8,648.42,654.67
2024-11-28,644.15,664.68,639.79,653.83
2024-11-27,613.5,646.75,607.79,644.14
2024-11-26,636.16,645.57,600.02,613.51
2024-11-25,659.65,676.79,626.43,636.2
2024-11-24,650.42,687.75,637.08,659.65
2024-11-23,633.0,680.0,631.1,650.42
2024-11-22,621.86,639.64,615.05,633.0
2024-11-21,605.39,629.37,593.05,621.86
2024-11-20,615.49,620.78,600.0,605.39
2024-11-19,618.93,621.41,605.21,615.5
2024-11-18,618.93,630.91,612.1,618.93
2024-11-17,622.69,647.6,605.2,618.9
2024-11-16,619.37,633.7,617.5,622.69
2024-11-15,622.3,628.3,603.4,619.37
2024-11-14,620.68,660.4,610.5,622.3
2024-11-13,625.42,638.06,598.6,620.68
2024-11-12,659.63,667.4,610.0,625.33
2024-11-11,627.34,665.54,613.0,659.63
2024-11-10,624.67,644.2,611.62,627.33
2024-11-09,597.82,638.0,597.51,624.66
2024-11-08,598.27,605.9,588.1,597.82
2024-11-07,592.22,611.2,587.01,598.26
2024-11-06,563.21,595.0,563.0,592.22
2024-11-05,552.51,572.8,551.22,563.21
2024-11-04,557.7,564.8,543.6,552.5
2024-11-03,568.6,569.3,547.0,557.7
2024-11-02,573.1,577.2,562.4,568.6
2024-11-01,576.5,585.5,567.7,573.1
2024-10-31,595.5,596.5,571.1,576.6
2024-10-30,606.3,606.7,594.1,595.6
2024-10-29,601.1,612.2,599.9,606.3
2024-10-28,589.3,604.6,585.5,601.1
2024-10-27,583.4,591.0,581.7,589.2
2024-10-26,575.3,587.1,571.6,583.4
2024-10-25,594.5,597.6,565.8,575.3
2024-10-24,584.9,598.0,583.3,594.5
2024-10-23,593.8,595.0,573.0,584.9
2024-10-22,598.8,609.0,587.0,593.8
2024-10-21,605.9,611.8,591.5,598.8
2024-10-20,597.8,607.3,593.1,605.9
2024-10-19,599.3,601.4,595.4,597.7
2024-10-18,592.9,602.4,591.8,599.2
2024-10-17,601.0,606.3,585.1,592.9
2024-10-16,594.6,605.5,589.7,600.9
2024-10-15,589.0,599.9,577.7,594.5
2024-10-14,572.3,592.3,558.9,589.1
2024-10-13,576.6,578.5,564.9,572.2
2024-10-12,573.7,579.2,573.6,576.6
2024-10-11,563.8,577.5,560.1,573.6
2024-10-10,570.8,572.9,551.5,563.9
2024-10-09,580.8,586.0,566.2,570.7
2024-10-08,564.29999,586.59998,560.0,580.8
2024-10-07,570.70001,581.70001,564.0,564.29999
2024-10-06,563.099976,571.70001,561.40002,570.5
2024-10-05,555.29999,564.90002,552.099976,563.40002
2024-10-04,545.0,557.59998,542.0,555.29999
2024-10-03,542.40002,550.79999,534.70001,544.79999
2024-10-02,546.90002,558.099976,535.59998,542.29999
2024-10-01,567.5,583.0,537.5,547.5
2024-09-30,595.70001,595.70001,563.90002,567.5
2024-09-29,601.099976,602.59998,592.5,595.59998
2024-09-28,606.79999,617.90002,595.20001,601.099976
2024-09-27,596.5,614.20001,596.099976,606.90002
2024-09-26,587.5,608.70001,581.0,596.40002
2024-09-25,605.90002,608.0,584.40002,587.5
2024-09-24,604.79999,613.29999,599.20001,605.90002
2024-09-23,588.90002,615.70001,584.0,604.70001
2024-09-22,588.59998,593.90002,576.59998,588.59998
2024-09-21,569.099976,590.0,566.59998,588.5
2024-09-20,567.20001,577.0,559.099976,569.099976
2024-09-19,559.0,571.90002,553.0,566.40002
2024-09-18,545.90002,559.5,536.90002,559.5
2024-09-17,533.59998,552.40002,529.0,546.099976
2024-09-16,553.0,555.099976,527.29999,533.70001
2024-09-15,553.29999,561.79999,552.099976,553.5
2024-09-14,556.70001,559.099976,547.5,553.40002
2024-09-13,544.59998,559.29999,538.90002,556.40002
2024-09-12,530.099976,548.40002,530.099976,544.59998
2024-09-11,517.099976,534.79999,506.70001,530.20001
2024-09-10,518.29999,524.0,513.40002,516.79999
2024-09-09,503.20001,525.5,501.89999,518.70001
2024-09-08,493.60001,506.70001,490.79999,502.89999
2024-09-07,487.20001,499.29999,483.20001,493.5
2024-09-06,502.39999,509.5,472.10001,487.10001
2024-09-05,507.70001,512.79999,496.79999,502.39999
2024-09-04,518.70001,523.5,496.0,507.5
2024-09-03,526.5,538.29999,518.29999,518.40002
2024-09-02,512.099976,529.5,501.79999,526.40002
2024-09-01,532.70001,533.099976,508.10001,512.70001
2024-08-31,535.29999,541.40002,531.20001,532.90002
2024-08-30,536.20001,543.20001,522.59998,535.20001
2024-08-29,536.59998,545.40002,531.79999,536.5
2024-08-28,533.20001,546.70001,523.0,536.59998
2024-08-27,548.20001,558.29999,522.79999,533.70001
2024-08-26,574.90002,575.5,546.70001,548.29999
2024-08-25,580.40002,583.79999,569.0,574.20001
2024-08-24,591.70001,592.20001,575.099976,580.40002
2024-08-23,583.20001,597.29999,574.90002,591.70001
2024-08-22,570.29999,589.90002,560.40002,583.0
2024-08-21,569.40002,575.099976,546.79999,570.099976
2024-08-20,559.099976,574.79999,558.40002,569.40002
2024-08-19,531.099976,560.5,529.40002,558.59998
2024-08-18,541.70001,542.59998,530.90002,531.40002
2024-08-17,519.90002,547.5,518.40002,541.70001
2024-08-16,519.0,524.5,510.29999,519.59998
2024-08-15,523.5,533.70001,510.89999,519.20001
2024-08-14,524.40002,531.40002,516.40002,523.5
2024-08-13,518.099976,526.0,513.70001,524.20001
2024-08-12,503.39999,523.40002,499.89999,518.5
2024-08-11,523.40002,535.29999,502.89999,503.29999
2024-08-10,508.79999,525.20001,507.39999,523.099976
2024-08-09,516.79999,518.0,499.0,508.79999
2024-08-08,474.39999,521.20001,468.39999,517.099976
2024-08-07,484.79999,497.5,468.10001,474.89999
2024-08-06,464.29999,492.70001,464.10001,484.79999
2024-08-05,497.29999,499.89999,404.39999,463.89999
2024-08-04,529.59998,532.099976,488.29999,496.70001
2024-08-03,542.29999,545.099976,521.70001,529.40002
2024-08-02,575.099976,577.40002,540.29999,543.40002
2024-08-01,576.40002,577.90002,553.79999,575.40002
2024-07-31,588.099976,592.70001,574.90002,576.40002
2024-07-30,574.29999,588.20001,567.40002,588.099976
2024-07-29,584.099976,597.099976,572.59998,574.40002
2024-07-28,581.099976,584.79999,574.90002,583.90002
2024-07-27,581.20001,592.79999,573.79999,581.59998
2024-07-26,570.79999,582.70001,570.29999,580.90002
2024-07-25,574.79999,575.90002,554.20001,570.70001
2024-07-24,582.0,589.0,570.59998,574.5
2024-07-23,588.20001,593.20001,577.5,581.90002
2024-07-22,602.90002,605.5,587.20001,587.20001
2024-07-21,593.5,603.40002,583.0,602.099976
2024-07-20,593.59998,597.90002,586.70001,593.099976
2024-07-19,571.79999,598.099976,565.5,593.5
2024-07-18,569.29999,579.40002,562.099976,572.0
2024-07-17,576.59998,583.90002,564.59998,568.79999
2024-07-16,586.0,587.20001,555.5,576.099976
2024-07-15,544.79999,586.5,544.0,585.099976
2024-07-14,532.5,547.70001,531.70001,544.70001
2024-07-13,533.90002,539.099976,527.5,532.29999
2024-07-12,525.20001,537.5,517.5,533.79999
2024-07-11,524.5,542.79999,520.40002,524.90002
2024-07-10,517.0,529.29999,511.60001,524.90002
2024-07-09,510.29999,520.59998,506.60001,516.79999
2024-07-08,491.20001,523.099976,471.60001,510.5
2024-07-07,525.90002,526.5,488.70001,490.39999
2024-07-06,497.39999,530.59998,496.20001,527.0
2024-07-05,513.40002,515.59998,456.29999,497.39999
2024-07-04,557.099976,558.0,512.0,513.40002
2024-07-03,580.20001,580.90002,550.70001,556.70001
2024-07-02,576.90002,581.79999,574.20001,580.0
2024-07-01,582.40002,588.20001,576.5,576.90002
2024-06-30,570.099976,585.0,568.29999,582.29999
2024-06-29,567.5,573.90002,567.0,570.40002
2024-06-28,581.79999,585.20001,565.90002,567.29999
2024-06-27,573.0,584.5,566.59998,581.70001
2024-06-26,578.29999,584.5,567.5,573.099976
2024-06-25,568.20001,579.5,566.70001,578.20001
2024-06-24,577.29999,581.79999,552.20001,568.0
2024-06-23,591.099976,593.0,576.29999,577.40002
2024-06-22,586.59998,591.40002,581.099976,591.0
2024-06-21,587.70001,589.099976,578.0,586.099976
2024-06-20,599.099976,607.90002,584.90002,587.70001
2024-06-19,588.79999,605.90002,586.70001,599.29999
2024-06-18,604.20001,605.0,575.29999,588.59998
2024-06-17,610.79999,612.5,592.099976,604.29999
2024-06-16,608.099976,611.70001,601.20001,610.90002
2024-06-15,603.099976,609.59998,601.40002,608.20001
2024-06-14,600.0,612.40002,590.20001,603.29999
2024-06-13,619.20001,619.70001,596.0,599.90002
2024-06-12,602.40002,635.20001,592.40002,619.40002
2024-06-11,624.40002,628.70001,596.70001,602.5
2024-06-10,672.79999,674.70001,613.70001,624.70001
2024-06-09,682.59998,684.79999,670.40002,673.0
2024-06-08,683.59998,694.90002,678.29999,682.70001
2024-06-07,711.70001,711.70001,660.29999,684.0
2024-06-06,698.79999,720.79999,692.79999,711.20001
2024-06-05,685.90002,712.79999,685.59998,698.59998
2024-06-04,627.0,687.79999,625.0,685.59998
2024-06-03,602.79999,637.79999,601.20001,626.20001
2024-06-02,602.29999,605.79999,596.20001,602.90002
2024-06-01,594.0,608.20001,593.20001,601.79999
2024-05-31,595.0,598.90002,590.099976,593.79999
2024-05-30,595.70001,601.79999,586.59998,595.0
2024-05-29,601.90002,603.59998,593.29999,595.59998
2024-05-28,603.79999,605.5,594.29999,601.70001
2024-05-27,600.5,614.0,599.70001,603.79999
2024-05-26,602.29999,605.099976,598.59998,600.29999
2024-05-25,600.0,606.5,599.5,602.40002
2024-05-24,598.79999,605.29999,588.40002,600.29999
2024-05-23,614.79999,616.90002,581.90002,599.40002
2024-05-22,618.90002,626.0,610.099976,614.79999
2024-05-21,600.29999,630.0,594.0,618.59998
2024-05-20,574.5,601.90002,569.40002,599.90002
2024-05-19,580.59998,581.79999,572.099976,574.59998
2024-05-18,580.40002,581.90002,574.29999,580.29999
2024-05-17,569.099976,584.5,568.79999,581.0
2024-05-16,581.40002,586.40002,565.40002,569.20001
2024-05-15,567.29999,587.20001,561.20001,580.90002
2024-05-14,591.29999,593.099976,562.59998,567.099976
2024-05-13,595.099976,598.0,585.70001,591.70001
2024-05-12,592.40002,599.40002,587.59998,594.79999
2024-05-11,585.5,594.40002,581.5,592.20001
2024-05-10,597.0,597.0,582.099976,585.59998
2024-05-09,588.29999,603.29999,586.70001,596.70001
2024-05-08,576.5,589.79999,575.40002,588.59998
2024-05-07,588.40002,600.099976,576.29999,577.20001
2024-05-06,592.20001,601.90002,583.29999,588.20001
