datetime,open,high,low,close
2024-12-31,92620.7,96148.94,91887.13,93354.22
2024-12-30,93563.35,94910.48,91271.19,92620.71
2024-12-29,95125.59,95170.06,92841.48,93563.35
2024-12-28,94171.7,95534.17,94002.72,95130.82
2024-12-27,95669.4,97340.47,93234.31,94171.89
2024-12-26,99358.67,99887.0,95083.93,95669.49
2024-12-25,98594.47,99484.92,97557.48,99346.28
2024-12-24,94767.88,99444.0,93426.25,98594.47
2024-12-23,95091.15,96430.08,92360.91,94764.56
2024-12-22,97230.09,97387.98,94182.98,95087.75
2024-12-21,97762.75,99596.57,96368.0,97230.08
2024-12-20,97372.2,98132.47,92115.66,97765.0
2024-12-19,100148.6,102796.22,95539.67,97372.21
2024-12-18,106145.83,106528.13,99939.82,100150.73
2024-12-17,106099.98,108388.88,105337.97,106136.99
2024-12-16,104445.15,107857.79,103289.21,106099.81
2024-12-15,101400.0,105100.0,101221.34,104447.76
2024-12-14,101428.74,102650.0,100600.0,101399.99
2024-12-13,100024.75,101959.13,99220.81,101428.75
2024-12-12,101211.61,102595.0,99298.39,100030.47
2024-12-11,96660.75,101984.98,95722.79,101202.11
2024-12-10,97330.66,98338.17,94273.38,96660.76
2024-12-09,101175.0,101290.73,94220.8,97324.81
2024-12-08,99919.2,101435.05,98729.66,101174.99
2024-12-07,99885.37,100583.27,99012.73,99929.32
2024-12-06,97049.47,102104.12,96424.2,99891.35
2024-12-05,98746.24,104000.0,92055.86,97044.23
2024-12-04,95924.85,99263.2,94634.85,98746.24
2024-12-03,95862.89,96310.1,93571.3,95924.52
2024-12-02,97259.17,98200.0,94400.63,95862.89
2024-12-01,96464.95,97895.9,95753.42,97263.18
2024-11-30,97489.8,97509.6,96129.73,96465.42
2024-11-29,95665.53,98750.0,95383.46,97490.56
2024-11-28,95951.19,96676.31,94671.59,95665.53
2024-11-27,91929.53,97386.06,91747.46,95951.19
2024-11-26,93001.48,95004.92,90682.58,91929.54
2024-11-25,98032.06,98999.0,92534.93,93000.01
2024-11-24,97778.78,98700.0,95780.77,98028.18
2024-11-23,99024.03,99044.11,97215.01,97778.77
2024-11-22,98439.1,99860.0,97209.52,99024.03
2024-11-21,94384.15,99073.53,94127.2,98439.09
2024-11-20,92445.04,94989.99,91600.0,94393.15
2024-11-19,90521.32,94105.84,90403.24,92435.89
2024-11-18,89877.11,92674.8,89372.65,90520.3
2024-11-17,90638.54,91439.82,88713.64,89886.69
2024-11-16,91058.36,91820.73,90069.21,90636.24
2024-11-15,87338.96,91934.62,87100.83,91058.36
2024-11-14,90499.4,91831.25,86672.07,87340.4
2024-11-13,88035.43,93495.0,86220.5,90493.82
2024-11-12,88770.74,90100.0,85010.0,88035.43
2024-11-11,80427.69,89666.0,80277.34,88770.73
