datetime,open,high,low,close
2024-12-31,0.31336,0.32873,0.30876,0.31536
2024-12-30,0.31375,0.32277,0.30586,0.31337
2024-12-29,0.32382,0.32916,0.31125,0.31369
2024-12-28,0.31144,0.32689,0.31086,0.32386
2024-12-27,0.31235,0.3245,0.30836,0.31143
2024-12-26,0.33411,0.33774,0.30815,0.31236
2024-12-25,0.33689,0.34191,0.32623,0.33413
2024-12-24,0.32455,0.34027,0.31568,0.3369
2024-12-23,0.31233,0.32841,0.30259,0.32456
2024-12-22,0.32025,0.32435,0.30456,0.31234
2024-12-21,0.31776,0.3499,0.31393,0.32025
2024-12-20,0.31404,0.32869,0.2615,0.31776
2024-12-19,0.35808,0.36719,0.30005,0.31403
2024-12-18,0.39409,0.39638,0.349,0.35816
2024-12-17,0.40208,0.41023,0.39109,0.39416
2024-12-16,0.40652,0.41499,0.39222,0.40208
2024-12-15,0.39831,0.4111,0.3922,0.40648
2024-12-14,0.40903,0.41412,0.38734,0.39824
2024-12-13,0.40611,0.41228,0.39924,0.40907
2024-12-12,0.41427,0.42419,0.40089,0.40623
2024-12-11,0.39409,0.41941,0.37537,0.41427
2024-12-10,0.41401,0.423,0.36522,0.39395
2024-12-09,0.46707,0.46795,0.38005,0.41402
2024-12-08,0.45327,0.48464,0.446,0.46682
2024-12-07,0.43541,0.46654,0.43123,0.45327
2024-12-06,0.42738,0.4423,0.42039,0.4354
2024-12-05,0.4333,0.46591,0.40765,0.42733
2024-12-04,0.40669,0.438,0.40027,0.43332
2024-12-03,0.42479,0.42975,0.38823,0.40659
2024-12-02,0.44052,0.46395,0.40041,0.4247
2024-12-01,0.42188,0.45,0.41667,0.44055
2024-11-30,0.42646,0.43576,0.41374,0.42185
2024-11-29,0.40168,0.43782,0.39947,0.42647
2024-11-28,0.40141,0.42934,0.39116,0.40166
2024-11-27,0.38688,0.40846,0.38002,0.40141
2024-11-26,0.39266,0.40887,0.3646,0.38699
2024-11-25,0.43071,0.43792,0.38023,0.3927
2024-11-24,0.43062,0.4554,0.4,0.43069
2024-11-23,0.41321,0.48078,0.40444,0.43069
2024-11-22,0.38701,0.42,0.38105,0.41318
