datetime,open,high,low,close
2024-12-31,99.4,104.79,97.75,103.28
2024-12-30,98.51,103.05,97.36,99.4
2024-12-29,100.75,101.66,96.83,98.51
2024-12-28,100.58,101.8,98.67,100.74
2024-12-27,102.24,106.51,99.68,100.58
2024-12-26,109.82,110.35,101.08,102.23
2024-12-25,108.34,110.67,106.92,109.82
2024-12-24,106.76,110.83,103.96,108.35
2024-12-23,99.8,107.67,97.91,106.77
2024-12-22,101.57,103.93,96.62,99.78
2024-12-21,101.37,106.04,97.74,101.56
2024-12-20,99.36,103.3,86.69,101.38
2024-12-19,108.32,111.76,94.69,99.36
2024-12-18,125.6,129.11,107.1,108.35
2024-12-17,118.0,131.48,114.37,125.63
2024-12-16,121.13,124.03,115.38,117.99
2024-12-15,118.23,122.18,114.26,121.11
2024-12-14,124.52,125.34,115.42,118.21
2024-12-13,119.23,125.3,117.04,124.52
2024-12-12,117.3,125.01,116.46,119.24
2024-12-11,109.79,118.68,106.01,117.3
2024-12-10,110.43,114.84,101.23,109.8
2024-12-09,134.91,135.07,100.56,110.44
2024-12-08,133.79,135.9,130.08,134.91
2024-12-07,135.94,138.67,131.76,133.79
2024-12-06,135.79,139.28,130.08,135.93
2024-12-05,133.69,147.06,124.94,135.78
2024-12-04,130.9,135.7,121.9,133.69
2024-12-03,132.93,135.16,121.42,130.89
2024-12-02,119.57,139.74,114.63,132.93
2024-12-01,102.75,122.25,99.35,119.55
2024-11-30,104.76,104.92,100.33,102.74
2024-11-29,95.54,104.8,94.72,104.77
2024-11-28,97.25,98.31,93.66,95.54
2024-11-27,92.82,99.0,91.47,97.23
2024-11-26,92.23,95.31,87.95,92.82
2024-11-25,96.92,99.23,90.92,92.26
2024-11-24,99.5,103.18,91.53,96.92
2024-11-23,92.2,106.36,92.08,99.5
2024-11-22,89.51,92.78,87.63,92.2
2024-11-21,83.41,93.0,81.54,89.51
2024-11-20,86.67,87.83,82.33,83.38
2024-11-19,89.21,90.18,85.07,86.68
2024-11-18,87.2,95.0,86.38,89.22
2024-11-17,95.44,97.43,84.68,87.2
2024-11-16,83.71,98.49,82.84,95.42
2024-11-15,82.37,87.37,78.84,83.7
2024-11-14,75.4,85.0,74.17,82.38
2024-11-13,76.69,77.93,71.86,75.39
2024-11-12,80.04,82.78,68.0,76.69
2024-11-11,76.58,80.37,74.57,80.03
2024-11-10,73.98,78.2,73.45,76.58
2024-11-09,72.79,74.19,71.58,73.98
2024-11-08,71.46,73.05,70.64,72.78
2024-11-07,71.0,72.39,69.88,71.45
2024-11-06,65.4,71.64,65.35,71.01
2024-11-05,65.56,67.28,64.85,65.39
2024-11-04,66.85,67.74,64.45,65.56
2024-11-03,69.2,69.29,65.28,66.86
2024-11-02,70.27,71.25,68.86,69.2
2024-11-01,69.33,71.09,67.7,70.27
2024-10-31,71.76,72.11,68.42,69.33
2024-10-30,73.99,74.27,71.49,71.76
2024-10-29,70.81,74.38,70.71,73.98
2024-10-28,71.1,71.57,69.6,70.8
2024-10-27,68.47,71.22,68.0,71.06
2024-10-26,68.83,69.72,68.07,68.47
2024-10-25,71.18,72.28,66.79,68.84
2024-10-24,70.05,71.33,69.29,71.18
2024-10-23,70.03,70.43,67.86,70.04
