datetime,open,high,low,close
2024-12-31,191.0,198.89,187.72,188.82
2024-12-30,189.6,196.22,185.54,191.01
2024-12-29,195.16,197.37,188.19,189.6
2024-12-28,183.94,195.71,183.55,195.15
2024-12-27,188.21,194.12,182.51,183.95
2024-12-26,197.33,199.59,186.42,188.24
2024-12-25,196.95,201.74,194.9,197.31
2024-12-24,189.88,198.93,185.86,196.95
2024-12-23,180.33,193.22,176.33,189.88
2024-12-22,181.36,187.73,176.71,180.35
2024-12-21,194.44,202.14,178.36,181.34
2024-12-20,193.66,199.53,175.01,194.43
2024-12-19,206.41,212.03,186.77,193.66
2024-12-18,223.2,226.0,204.77,206.39
2024-12-17,216.27,229.03,211.5,223.2
2024-12-16,224.2,227.39,213.11,216.27
2024-12-15,219.9,225.44,215.67,224.25
2024-12-14,224.8,227.48,215.15,219.88
2024-12-13,226.99,228.47,220.6,224.82
2024-12-12,227.42,234.79,225.61,227.0
2024-12-11,213.75,230.84,211.62,227.42
2024-12-10,216.71,221.09,203.27,213.75
2024-12-09,237.19,237.45,205.0,216.72
2024-12-08,238.35,241.72,233.32,237.19
2024-12-07,237.21,243.8,234.32,238.35
2024-12-06,236.13,247.1,231.11,237.21
2024-12-05,229.47,244.99,223.19,236.13
2024-12-04,234.13,240.99,224.69,229.49
2024-12-03,225.8,240.09,215.0,234.1
2024-12-02,236.92,238.5,220.03,225.79
2024-12-01,237.74,240.0,234.24,236.95
2024-11-30,243.43,245.43,237.61,237.74
2024-11-29,237.64,246.87,236.6,243.43
2024-11-28,242.24,245.49,232.89,237.65
2024-11-27,230.6,243.56,227.5,242.24
2024-11-26,234.14,239.91,221.57,230.6
2024-11-25,253.03,256.82,231.16,234.18
2024-11-24,255.11,260.0,241.2,253.03
2024-11-23,257.23,264.32,253.01,255.12
2024-11-22,256.65,264.63,251.75,257.23
2024-11-21,235.68,259.89,230.02,256.65
2024-11-20,237.99,242.72,230.66,235.68
2024-11-19,239.95,247.75,233.74,237.99
2024-11-18,237.5,248.52,234.03,239.94
2024-11-17,215.81,241.99,212.21,237.53
2024-11-16,218.51,221.95,213.4,215.81
2024-11-15,209.57,220.46,204.57,218.53
2024-11-14,215.45,222.83,206.75,209.58
2024-11-13,211.88,220.84,201.0,215.46
2024-11-12,222.41,225.37,205.0,211.87
2024-11-11,210.22,225.0,204.32,222.42
2024-11-10,200.0,215.62,198.78,210.22
2024-11-09,200.0,203.49,195.05,200.0
2024-11-08,196.45,205.2,195.79,199.99
2024-11-07,186.76,198.0,186.01,196.44
2024-11-06,166.63,190.07,166.42,186.76
2024-11-05,157.86,169.39,156.69,166.64
2024-11-04,162.43,164.92,155.01,157.86
2024-11-03,166.11,166.55,157.8,162.46
2024-11-02,166.0,168.55,162.01,166.12
2024-11-01,168.42,173.94,163.6,166.02
2024-10-31,174.82,176.46,167.31,168.43
2024-10-30,179.35,181.2,173.11,174.85
2024-10-29,178.17,183.3,176.25,179.39
2024-10-28,176.43,179.6,172.27,178.2
2024-10-27,170.66,178.0,170.01,176.44
2024-10-26,164.58,173.0,162.2,170.66
2024-10-25,177.07,177.5,159.05,164.6
2024-10-24,170.65,179.12,170.27,177.07
2024-10-23,167.48,174.0,164.04,170.65
2024-10-22,166.07,170.98,162.95,167.48
2024-10-21,167.34,171.62,161.31,166.13
2024-10-20,159.73,167.9,157.58,167.37
2024-10-19,154.92,159.75,153.6,159.71
2024-10-18,150.43,156.69,149.55,154.92
2024-10-17,154.25,155.69,147.63,150.44
2024-10-16,154.74,158.39,152.84,154.24
2024-10-15,157.53,159.5,150.33,154.72
2024-10-14,147.72,158.0,146.73,157.52
2024-10-13,146.37,148.81,144.41,147.69
2024-10-12,145.46,147.32,144.55,146.35
2024-10-11,138.95,146.5,138.58,145.46
2024-10-10,139.21,140.75,135.36,138.95
2024-10-09,143.41,145.28,138.54,139.21
2024-10-08,143.92999,145.50999,141.16,143.4
2024-10-07,146.44,152.25,143.48,143.95
2024-10-06,142.58,146.72,142.0,146.48
2024-10-05,143.16,144.88,141.029999,142.64999
2024-10-04,136.75999,144.56,135.92,143.16
2024-10-03,140.22,142.91,133.34,136.81
2024-10-02,145.28999,148.89999,138.66,140.22
2024-10-01,152.53,157.27,142.25999,145.19
2024-09-30,158.5,159.72,151.83,152.60001
2024-09-29,156.74001,161.75999,155.14,158.55
2024-09-28,157.67,159.42999,155.11,156.74001
2024-09-27,155.53999,161.039993,154.020004,157.67
2024-09-26,147.98,158.0099945,146.57001,155.55
2024-09-25,152.67999,153.78999,147.28999,147.98
2024-09-24,144.78,153.89,143.11,152.67999
2024-09-23,144.67999,149.0099945,142.17999,144.78
2024-09-22,149.45,149.88,141.17999,144.66
2024-09-21,146.67999,149.84,144.64999,149.5
2024-09-20,142.89,152.25,141.23,146.7
2024-09-19,134.3,143.95,134.3,142.89
2024-09-18,131.56,134.3,127.099998,134.3
2024-09-17,131.39999,135.53,130.33,131.56
2024-09-16,131.36,132.37,128.96001,131.39999
2024-09-15,137.17,137.97,130.42,131.53999
2024-09-14,139.27,139.88,135.74001,137.17999
2024-09-13,136.039993,139.87,131.78999,139.27
2024-09-12,132.39,136.77,132.39,136.039993
2024-09-11,135.60001,135.88,128.2,132.44
2024-09-10,135.089996,137.96001,132.56,135.59
2024-09-09,130.050003,136.98,127.059998,135.080002
2024-09-08,127.75,131.62,126.65,130.050003
2024-09-07,125.010002,129.37,124.15,127.72
2024-09-06,129.42999,134.22,120.95,124.95
2024-09-05,133.62,135.21001,128.029999,129.42999
2024-09-04,127.53,134.95,123.07,133.64
2024-09-03,134.95,137.25,127.21,127.25
2024-09-02,128.61,135.37,127.07,134.95
2024-09-01,135.35001,136.080002,127.82,128.64999
2024-08-31,137.92999,139.2,134.53,135.35001
2024-08-30,140.070007,141.10001,132.27,137.98
2024-08-29,143.99001,147.37,138.21001,140.070007
2024-08-28,147.029999,148.75,140.63,143.99001
2024-08-27,157.14999,159.7,145.029999,147.029999
2024-08-26,159.080002,161.99001,155.67999,157.14999
2024-08-25,160.7,162.0,155.35001,158.97
2024-08-24,153.25999,162.33,152.070007,160.7
2024-08-23,143.23,153.94,142.78999,153.25999
2024-08-22,142.75,144.87,140.78,143.23
2024-08-21,142.27,144.41,138.89,142.74001
2024-08-20,144.27,148.77,141.039993,142.31
2024-08-19,142.48,146.029999,140.42999,144.24001
2024-08-18,141.96001,147.029999,140.69,142.5
2024-08-17,139.080002,141.99001,137.67,141.96001
2024-08-16,142.53999,144.89999,136.14,139.11
2024-08-15,143.8,147.58,137.91,142.48
2024-08-14,146.7,152.070007,142.45,143.77
2024-08-13,146.41,149.88,143.029999,146.72
2024-08-12,141.49001,150.78999,141.39999,146.41
2024-08-11,154.050003,157.96001,141.21001,141.39999
2024-08-10,156.31,158.57001,152.78,154.039993
2024-08-09,163.039993,163.48,150.81,156.31
2024-08-08,144.35001,163.50999,141.53,163.059998
2024-08-07,144.42999,155.050003,142.44,144.35001
2024-08-06,129.83,149.49001,129.62,144.64
2024-08-05,138.25,139.24001,110.099998,129.83
2024-08-04,142.42999,145.89,131.23,138.070007
2024-08-03,152.57001,153.78999,140.039993,142.42999
2024-08-02,167.37,169.24001,149.92999,152.7
2024-08-01,171.55,172.91,158.0,167.42
2024-07-31,179.059998,184.35001,171.55,171.55
2024-07-30,182.78,184.49001,175.42999,179.059998
2024-07-29,184.89999,193.87,181.73,182.52
2024-07-28,183.81,186.64,181.25,184.89
2024-07-27,183.039993,188.21001,178.17,183.81
2024-07-26,171.84,183.56,171.83,183.039993
2024-07-25,178.21001,179.60001,165.61,171.81
2024-07-24,173.039993,182.39999,171.0,177.82001
2024-07-23,179.020004,180.60001,170.83,173.029999
2024-07-22,184.42999,184.92,176.84,179.039993
2024-07-21,173.66,185.0,170.66,184.42999
2024-07-20,169.25,175.0,167.41,173.66
2024-07-19,159.2,171.35001,156.27,169.24001
2024-07-18,155.39,161.57001,155.25999,159.17
2024-07-17,160.63,163.69,154.71001,155.37
2024-07-16,159.74001,162.62,152.78999,160.63
2024-07-15,147.69,160.11,147.11,159.74001
2024-07-14,141.92,148.60001,141.92,147.61
2024-07-13,139.55,143.59,138.059998,141.92
2024-07-12,135.73,140.63,134.080002,139.55
2024-07-11,142.080002,145.85001,135.73,135.77
2024-07-10,141.37,146.029999,138.64,142.080002
2024-07-09,139.86,144.059998,136.50999,141.37
