datetime,open,high,low,close
2024-12-31,2.05872,2.15,2.01307,2.08391
2024-12-30,2.09423,2.15147,1.99607,2.05876
2024-12-29,2.18435,2.19749,2.07149,2.09436
2024-12-28,2.14641,2.2075,2.13439,2.1843
2024-12-27,2.15587,2.23697,2.11487,2.14618
2024-12-26,2.29706,2.31548,2.12871,2.15573
2024-12-25,2.32322,2.3318,2.26244,2.29702
2024-12-24,2.2611,2.35,2.21308,2.3234
2024-12-23,2.20322,2.2778,2.13116,2.26107
2024-12-22,2.23822,2.29353,2.16073,2.20321
2024-12-21,2.27946,2.38562,2.19202,2.23815
2024-12-20,2.23856,2.35442,1.96105,2.27942
2024-12-19,2.3105,2.43259,2.161,2.23857
2024-12-18,2.5675,2.59261,2.23338,2.3102
2024-12-17,2.48382,2.72712,2.44037,2.56765
2024-12-16,2.44719,2.58568,2.33475,2.48308
2024-12-15,2.40074,2.4763,2.36824,2.44696
2024-12-14,2.4214,2.53043,2.35522,2.40064
2024-12-13,2.33892,2.47786,2.28558,2.4212
2024-12-12,2.39428,2.48278,2.30368,2.33877
2024-12-11,2.37034,2.46943,2.23041,2.39455
2024-12-10,2.21308,2.41724,1.90037,2.37031
2024-12-09,2.60101,2.60705,2.0001,2.21285
2024-12-08,2.6094,2.64521,2.45392,2.60133
2024-12-07,2.42589,2.61936,2.38514,2.60999
2024-12-06,2.24604,2.46632,2.22708,2.4258
2024-12-05,2.35688,2.49958,2.16663,2.24612
2024-12-04,2.51166,2.68075,2.27666,2.35783
2024-12-03,2.72411,2.90716,2.28,2.511
2024-12-02,2.29384,2.87183,2.21269,2.72463
2024-12-01,1.95101,2.35,1.84744,2.29307
2024-11-30,1.80068,1.95848,1.76447,1.9511
2024-11-29,1.54204,1.81455,1.52342,1.80133
2024-11-28,1.46955,1.54673,1.43053,1.54192
2024-11-27,1.39821,1.52,1.35253,1.4697
2024-11-26,1.4146,1.45866,1.28308,1.39834
2024-11-25,1.43377,1.5391,1.35474,1.41437
2024-11-24,1.46901,1.5124,1.27681,1.43308
2024-11-23,1.47229,1.63248,1.42138,1.46901
2024-11-22,1.24659,1.5,1.24639,1.47294
2024-11-21,1.10404,1.26316,1.07771,1.24651
2024-11-20,1.10044,1.15011,1.0562,1.10391
2024-11-19,1.11415,1.14778,1.06907,1.10042
2024-11-18,1.05434,1.1862,1.05434,1.11411
2024-11-17,1.12071,1.15987,1.0032,1.05429
2024-11-16,0.89198,1.26779,0.87781,1.12032
2024-11-15,0.77365,0.92663,0.77025,0.89202
2024-11-14,0.68969,0.84674,0.68194,0.77367
2024-11-13,0.70397,0.74729,0.63411,0.68974
2024-11-12,0.62067,0.73905,0.59668,0.70389
2024-11-11,0.58844,0.63243,0.5704,0.62059
2024-11-10,0.55912,0.62,0.55556,0.58841
2024-11-09,0.55353,0.56172,0.54477,0.55911
2024-11-08,0.55565,0.55984,0.54143,0.55353
2024-11-07,0.54191,0.5782,0.5377,0.5556
2024-11-06,0.51402,0.54684,0.51397,0.54191
2024-11-05,0.50342,0.51868,0.50203,0.51401
